card_id,turn,prior_bot,user,bot_reply,label
A2__noprof_inattentive_someidea,5,We suggest Dr. Arjun Iyer. Which days work for you?,"mornings are best for me, i am useless later in the day","Sorry, Dr. Arjun Iyer has no free slots on Monday 21 September and Monday 28 September. Would another day work for you?",
A2__noprof_inattentive_someidea,10,We suggest Dr. Arjun Iyer. Which days work for you?,tuesday works for me,"There are no evening slots on those days, but here is what is open. Dr. Arjun Iyer is available at:
1. Tuesday 22 September, 09:00
2. Tuesday 22 September, 09:30
3. Tuesday 22 September, 10:00
Which one would you like?",
A2__noprof_inattentive_someidea,11,"There are no evening slots on those days, but here is what is open. Dr. Arjun Iyer is available at:
1. Tuesday 22 September, 09:00
2. Tuesday 22 September, 09:30
3. Tuesday 22 September, 10:00
Which one would you like?","the earliest one, 9 in the morning is fine",Your first consultation with Dr. Arjun Iyer is confirmed for Tuesday 22 September at 09:00. Booking reference: b0003.,
A3__prof_inattentive_someidea,5,We suggest Dr. Sana Khan. Which days work for you?,monday works,"There are no morning slots on those days, but here is what is open. Dr. Sana Khan is available at:
1. Monday 21 September, 16:00
2. Monday 21 September, 17:00
3. Monday 21 September, 18:00
Which one would you like?",
A3__prof_inattentive_someidea,7,"Sure, let's look at other days. Which days work for you?",still barely getting out of bed most days but monday is what works,"There are no morning slots on those days, but here is what is open. Dr. Sana Khan is available at:
1. Monday 21 September, 16:00
2. Monday 21 September, 17:00
3. Monday 21 September, 18:00
Which one would you like?",
B10__prof_inattentive_noidea,1,,"hi, need to book an appointment",Welcome to Willow Lane Mental Health Clinic. Is this your first consultation with us?,
B10__prof_inattentive_noidea,2,Welcome to Willow Lane Mental Health Clinic. Is this your first consultation with us?,yes first time,Great. Could you tell me briefly what you would like help with?,
B10__prof_inattentive_noidea,7,"Sure, let's look at other days. Which days work for you?",my number is 5551234789. wednesday still,"There are no evening slots on those days, but here is what is open. Dr. Meera Rao is available at:
1. Wednesday 23 September, 14:00
2. Wednesday 23 September, 15:00
3. Wednesday 23 September, 16:00
Which one would you like?",
B3__prof_inattentive_noidea,6,Great. Which days work for you?,"also i can't focus at work at all, it's affecting everything","Sorry, Dr. Lakshmi Nair has no free slots on Friday 18 September. Would another day work for you?",
B3__prof_inattentive_noidea,9,"Sure, let's look at other days. Which days work for you?","returning patient here, still monday works for me","Dr. Lakshmi Nair is available at:
1. Monday 21 September, 09:00
2. Monday 21 September, 09:30
3. Monday 21 September, 10:00
Which one would you like?",
B3__prof_inattentive_noidea,10,"Dr. Lakshmi Nair is available at:
1. Monday 21 September, 09:00
2. Monday 21 September, 09:30
3. Monday 21 September, 10:00
Which one would you like?",1,Your therapy session with Dr. Lakshmi Nair is confirmed for Monday 21 September at 09:00. Booking reference: b0001.,
B4__noprof_patient_noidea,7,"Dr. Anil Rao is available at:
1. Saturday 19 September, 14:00
2. Saturday 19 September, 15:00
3. Saturday 19 September, 16:00
Which one would you like?","The earliest one, 2 in the afternoon, would be perfect.",Your first consultation with Dr. Anil Rao is confirmed for Saturday 19 September at 15:00. Booking reference: b0002.,
B5__noprof_agitated_noidea,7,"Sure, let's look at other days. Which days work for you?","Friday, I already said that. Morning, ideally.","There are no morning slots on those days, but here is what is open. Dr. Arjun Iyer is available at:
1. Friday 18 September, 17:00
2. Friday 18 September, 18:00
3. Friday 25 September, 17:00
Which one would you like?",
B5__noprof_agitated_someidea,1,,"I need to book an appointment, my chest keeps tightening on the bus and I can't calm down.",Welcome to Willow Lane Mental Health Clinic. Is this your first consultation with us?,
B5__noprof_agitated_someidea,8,We suggest Dr. Anil Rao. Which days work for you?,"Friday, that's the only day I can manage.","Sorry, Dr. Anil Rao has no free slots on Friday 18 September and Friday 25 September. Would another day work for you?",
B5__noprof_agitated_someidea,9,"Sorry, Dr. Anil Rao has no free slots on Friday 18 September and Friday 25 September. Would another day work for you?","No, it has to be Friday, find someone else who's free then.","Sorry, Dr. Anil Rao has no free slots on Friday 18 September and Friday 25 September. Would another day work for you?",
B5__noprof_agitated_someidea,12,We suggest Dr. Sana Khan. Which days work for you?,"Friday, still Friday.","Sorry, I wasn't able to understand your request. Please call our customer care team on 1800-000-0000 and they will help you book an appointment.",
B7__prof_agitated_noidea,5,We suggest Dr. Sana Khan. Which days work for you?,"Before that, what's this going to cost me?","Sorry, Dr. Sana Khan has no free slots on Friday 18 September. Would another day work for you?",
